,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_rental,rasio_casual_registered
4859,4860,2011-07-26,fall,2011,7,9,0,2,1,1,0.76,0.6818,0.4,0.2239,25,162,187,0.15432098765432098
4860,4861,2011-07-26,fall,2011,7,10,0,2,1,1,0.8,0.697,0.31,0.2239,42,96,138,0.4375
4861,4862,2011-07-26,fall,2011,7,11,0,2,1,1,0.82,0.7121,0.3,0.0,49,102,151,0.4803921568627451
4862,4863,2011-07-26,fall,2011,7,12,0,2,1,1,0.84,0.7273,0.28,0.0,25,122,147,0.20491803278688525
4863,4864,2011-07-26,fall,2011,7,13,0,2,1,1,0.84,0.7273,0.32,0.2985,43,139,182,0.30935251798561153
4864,4865,2011-07-26,fall,2011,7,14,0,2,1,1,0.86,0.7424,0.3,0.2836,46,101,147,0.45544554455445546
4865,4866,2011-07-26,fall,2011,7,15,0,2,1,1,0.88,0.7576,0.28,0.3284,49,114,163,0.4298245614035088
4866,4867,2011-07-26,fall,2011,7,16,0,2,1,1,0.86,0.7576,0.36,0.2836,41,213,254,0.19248826291079812
4867,4868,2011-07-26,fall,2011,7,17,0,2,1,1,0.86,0.7576,0.36,0.3582,72,465,537,0.15483870967741936
4868,4869,2011-07-26,fall,2011,7,18,0,2,1,1,0.84,0.7424,0.39,0.3881,68,478,546,0.14225941422594143
4869,4870,2011-07-26,fall,2011,7,19,0,2,1,1,0.82,0.7424,0.43,0.2985,69,329,398,0.20972644376899696
4870,4871,2011-07-26,fall,2011,7,20,0,2,1,1,0.8,0.7273,0.46,0.2537,47,243,290,0.1934156378600823
4871,4872,2011-07-26,fall,2011,7,21,0,2,1,1,0.78,0.7121,0.49,0.2239,45,222,267,0.20270270270270271
4872,4873,2011-07-26,fall,2011,7,22,0,2,1,1,0.76,0.697,0.55,0.1343,27,131,158,0.20610687022900764
4873,4874,2011-07-26,fall,2011,7,23,0,2,1,1,0.76,0.7121,0.58,0.1045,18,71,89,0.2535211267605634
4874,4875,2011-07-27,fall,2011,7,0,0,3,1,2,0.78,0.7121,0.52,0.1642,19,26,45,0.7307692307692307
4875,4876,2011-07-27,fall,2011,7,1,0,3,1,1,0.78,0.7121,0.49,0.194,1,9,10,0.1111111111111111
4876,4877,2011-07-27,fall,2011,7,2,0,3,1,1,0.76,0.697,0.52,0.2985,1,5,6,0.2
4877,4878,2011-07-27,fall,2011,7,3,0,3,1,1,0.72,0.6667,0.58,0.1642,0,4,4,0.0
4878,4879,2011-07-27,fall,2011,7,4,0,3,1,1,0.72,0.6667,0.51,0.194,1,3,4,0.3333333333333333
4879,4880,2011-07-27,fall,2011,7,5,0,3,1,1,0.7,0.6515,0.54,0.2836,0,18,18,0.0
4880,4881,2011-07-27,fall,2011,7,6,0,3,1,1,0.7,0.6515,0.54,0.2239,4,119,123,0.03361344537815126
4881,4882,2011-07-27,fall,2011,7,7,0,3,1,1,0.72,0.6667,0.48,0.2537,34,313,347,0.10862619808306709
4882,4883,2011-07-27,fall,2011,7,8,0,3,1,1,0.74,0.6667,0.42,0.2537,28,405,433,0.0691358024691358
4883,4884,2011-07-27,fall,2011,7,9,0,3,1,1,0.76,0.6667,0.35,0.2537,27,189,216,0.14285714285714285
4884,4885,2011-07-27,fall,2011,7,10,0,3,1,1,0.78,0.6818,0.33,0.0,32,82,114,0.3902439024390244
4885,4886,2011-07-27,fall,2011,7,11,0,3,1,1,0.8,0.697,0.31,0.0,42,94,136,0.44680851063829785
4886,4887,2011-07-27,fall,2011,7,12,0,3,1,1,0.82,0.7121,0.3,0.2836,37,132,169,0.2803030303030303
4887,4888,2011-07-27,fall,2011,7,13,0,3,1,1,0.84,0.7273,0.3,0.3582,29,151,180,0.19205298013245034
4888,4889,2011-07-27,fall,2011,7,14,0,3,1,1,0.84,0.7273,0.28,0.2239,20,107,127,0.18691588785046728
4889,4890,2011-07-27,fall,2011,7,15,0,3,1,1,0.86,0.7424,0.26,0.2537,37,103,140,0.3592233009708738
4890,4891,2011-07-27,fall,2011,7,16,0,3,1,1,0.86,0.7273,0.25,0.1642,40,228,268,0.17543859649122806
4891,4892,2011-07-27,fall,2011,7,17,0,3,1,1,0.84,0.7121,0.26,0.2239,81,491,572,0.164969450101833
4892,4893,2011-07-27,fall,2011,7,18,0,3,1,1,0.82,0.7121,0.28,0.1045,78,463,541,0.16846652267818574
4893,4894,2011-07-27,fall,2011,7,19,0,3,1,1,0.8,0.697,0.29,0.0896,87,288,375,0.3020833333333333
4894,4895,2011-07-27,fall,2011,7,20,0,3,1,1,0.76,0.6818,0.45,0.2239,55,239,294,0.2301255230125523
4895,4896,2011-07-27,fall,2011,7,21,0,3,1,1,0.74,0.6667,0.48,0.1045,49,196,245,0.25
4896,4897,2011-07-27,fall,2011,7,22,0,3,1,1,0.72,0.6667,0.48,0.0,37,143,180,0.25874125874125875
4897,4898,2011-07-27,fall,2011,7,23,0,3,1,1,0.74,0.6667,0.45,0.0896,16,93,109,0.17204301075268819
4898,4899,2011-07-28,fall,2011,7,0,0,4,1,1,0.7,0.6515,0.51,0.1343,14,31,45,0.45161290322580644
4899,4900,2011-07-28,fall,2011,7,1,0,4,1,1,0.72,0.6667,0.51,0.0,3,26,29,0.11538461538461539
4900,4901,2011-07-28,fall,2011,7,2,0,4,1,1,0.72,0.6667,0.54,0.1045,2,5,7,0.4
4901,4902,2011-07-28,fall,2011,7,3,0,4,1,1,0.72,0.6667,0.54,0.0,0,5,5,0.0
4902,4903,2011-07-28,fall,2011,7,4,0,4,1,1,0.7,0.6515,0.61,0.1045,0,6,6,0.0
4903,4904,2011-07-28,fall,2011,7,5,0,4,1,1,0.7,0.6515,0.65,0.1045,1,26,27,0.038461538461538464
4904,4905,2011-07-28,fall,2011,7,6,0,4,1,1,0.7,0.6515,0.7,0.0896,6,110,116,0.05454545454545454
4905,4906,2011-07-28,fall,2011,7,7,0,4,1,1,0.72,0.6818,0.7,0.1642,27,278,305,0.09712230215827339
4906,4907,2011-07-28,fall,2011,7,8,0,4,1,1,0.74,0.697,0.66,0.1642,47,409,456,0.11491442542787286
4907,4908,2011-07-28,fall,2011,7,9,0,4,1,1,0.78,0.7424,0.59,0.194,21,189,210,0.1111111111111111
4908,4909,2011-07-28,fall,2011,7,10,0,4,1,1,0.8,0.7576,0.55,0.2836,30,86,116,0.3488372093023256
4909,4910,2011-07-28,fall,2011,7,11,0,4,1,1,0.84,0.8182,0.56,0.2836,41,113,154,0.36283185840707965
4910,4911,2011-07-28,fall,2011,7,12,0,4,1,1,0.84,0.803,0.53,0.2537,35,151,186,0.23178807947019867
4911,4912,2011-07-28,fall,2011,7,13,0,4,1,1,0.86,0.803,0.47,0.2537,26,126,152,0.20634920634920634
4912,4913,2011-07-28,fall,2011,7,14,0,4,1,2,0.84,0.7879,0.49,0.2537,27,111,138,0.24324324324324326
4913,4914,2011-07-28,fall,2011,7,15,0,4,1,1,0.86,0.8182,0.5,0.194,22,124,146,0.1774193548387097
4914,4915,2011-07-28,fall,2011,7,16,0,4,1,1,0.86,0.803,0.47,0.1642,42,214,256,0.19626168224299065
4915,4916,2011-07-28,fall,2011,7,17,0,4,1,1,0.84,0.803,0.53,0.194,45,423,468,0.10638297872340426
4916,4917,2011-07-28,fall,2011,7,18,0,4,1,1,0.84,0.8182,0.56,0.2239,55,428,483,0.12850467289719625
4917,4918,2011-07-28,fall,2011,7,19,0,4,1,1,0.82,0.803,0.59,0.194,37,285,322,0.12982456140350876
4918,4919,2011-07-28,fall,2011,7,20,0,4,1,1,0.8,0.7879,0.63,0.194,41,229,270,0.17903930131004367
4919,4920,2011-07-28,fall,2011,7,21,0,4,1,1,0.78,0.7576,0.66,0.2836,31,165,196,0.18787878787878787
4920,4921,2011-07-28,fall,2011,7,22,0,4,1,1,0.76,0.7273,0.7,0.2537,25,149,174,0.16778523489932887
4921,4922,2011-07-28,fall,2011,7,23,0,4,1,1,0.76,0.7424,0.75,0.194,28,95,123,0.29473684210526313
4922,4923,2011-07-29,fall,2011,7,0,0,5,1,1,0.74,0.7121,0.79,0.1642,12,45,57,0.26666666666666666
4923,4924,2011-07-29,fall,2011,7,1,0,5,1,1,0.74,0.7121,0.79,0.1343,12,22,34,0.5454545454545454
4924,4925,2011-07-29,fall,2011,7,2,0,5,1,1,0.74,0.7121,0.79,0.0,3,10,13,0.3
4925,4926,2011-07-29,fall,2011,7,3,0,5,1,1,0.74,0.7121,0.79,0.0,2,9,11,0.2222222222222222
4926,4927,2011-07-29,fall,2011,7,4,0,5,1,1,0.72,0.7121,0.84,0.1343,2,4,6,0.5
4927,4928,2011-07-29,fall,2011,7,5,0,5,1,1,0.72,0.7121,0.84,0.0,4,23,27,0.17391304347826086
4928,4929,2011-07-29,fall,2011,7,6,0,5,1,2,0.72,0.7121,0.84,0.0,7,83,90,0.08433734939759036
4929,4930,2011-07-29,fall,2011,7,7,0,5,1,2,0.74,0.7121,0.79,0.0896,26,228,254,0.11403508771929824
4930,4931,2011-07-29,fall,2011,7,8,0,5,1,2,0.76,0.7727,0.77,0.0,30,354,384,0.0847457627118644
4931,4932,2011-07-29,fall,2011,7,9,0,5,1,1,0.86,0.803,0.47,0.2537,28,151,179,0.18543046357615894
4932,4933,2011-07-29,fall,2011,7,10,0,5,1,1,0.9,0.8485,0.42,0.2836,37,69,106,0.5362318840579711
4933,4934,2011-07-29,fall,2011,7,11,0,5,1,1,0.92,0.8788,0.4,0.2985,43,118,161,0.3644067796610169
4934,4935,2011-07-29,fall,2011,7,12,0,5,1,1,0.96,0.8636,0.31,0.2836,40,95,135,0.42105263157894735
4935,4936,2011-07-29,fall,2011,7,13,0,5,1,1,0.94,0.8333,0.31,0.0,42,114,156,0.3684210526315789
4936,4937,2011-07-29,fall,2011,7,14,0,5,1,1,0.96,0.8636,0.3,0.2239,34,114,148,0.2982456140350877
4937,4938,2011-07-29,fall,2011,7,15,0,5,1,1,0.96,0.8636,0.3,0.2537,40,129,169,0.31007751937984496
4938,4939,2011-07-29,fall,2011,7,16,0,5,1,1,0.96,0.8636,0.3,0.3881,35,198,233,0.17676767676767677
4939,4940,2011-07-29,fall,2011,7,17,0,5,1,1,0.96,0.8636,0.3,0.2985,47,374,421,0.12566844919786097
4940,4941,2011-07-29,fall,2011,7,18,0,5,1,1,0.92,0.8636,0.37,0.3284,49,313,362,0.15654952076677317
4941,4942,2011-07-29,fall,2011,7,19,0,5,1,1,0.9,0.8485,0.42,0.2239,22,219,241,0.1004566210045662
4942,4943,2011-07-29,fall,2011,7,20,0,5,1,1,0.86,0.7879,0.41,0.3284,53,153,206,0.3464052287581699
4943,4944,2011-07-29,fall,2011,7,21,0,5,1,1,0.82,0.7576,0.46,0.1642,29,134,163,0.21641791044776118
4944,4945,2011-07-29,fall,2011,7,22,0,5,1,1,0.8,0.7424,0.49,0.2239,47,127,174,0.3700787401574803
4945,4946,2011-07-29,fall,2011,7,23,0,5,1,1,0.78,0.7121,0.52,0.1045,26,90,116,0.28888888888888886
4946,4947,2011-07-30,fall,2011,7,0,0,6,0,1,0.76,0.697,0.55,0.194,60,73,133,0.821917808219178
4947,4948,2011-07-30,fall,2011,7,1,0,6,0,1,0.76,0.697,0.55,0.0896,15,75,90,0.2
4948,4949,2011-07-30,fall,2011,7,2,0,6,0,1,0.76,0.697,0.55,0.1045,11,31,42,0.3548387096774194
4949,4950,2011-07-30,fall,2011,7,3,0,6,0,1,0.74,0.6818,0.62,0.1642,18,25,43,0.72
4950,4951,2011-07-30,fall,2011,7,4,0,6,0,1,0.72,0.6818,0.66,0.1642,4,6,10,0.6666666666666666
4951,4952,2011-07-30,fall,2011,7,5,0,6,0,1,0.72,0.6818,0.7,0.2836,4,9,13,0.4444444444444444
4952,4953,2011-07-30,fall,2011,7,6,0,6,0,1,0.72,0.6818,0.7,0.2985,6,18,24,0.3333333333333333
4953,4954,2011-07-30,fall,2011,7,7,0,6,0,1,0.76,0.7273,0.66,0.194,3,39,42,0.07692307692307693
4954,4955,2011-07-30,fall,2011,7,8,0,6,0,1,0.78,0.7424,0.59,0.2239,27,87,114,0.3103448275862069
4955,4956,2011-07-30,fall,2011,7,9,0,6,0,1,0.82,0.7576,0.46,0.2985,49,125,174,0.392
4956,4957,2011-07-30,fall,2011,7,10,0,6,0,1,0.82,0.7424,0.41,0.2985,79,182,261,0.4340659340659341
4957,4958,2011-07-30,fall,2011,7,11,0,6,0,1,0.84,0.7424,0.36,0.194,111,206,317,0.5388349514563107
4958,4959,2011-07-30,fall,2011,7,12,0,6,0,1,0.84,0.7273,0.32,0.1642,111,230,341,0.4826086956521739
4959,4960,2011-07-30,fall,2011,7,13,0,6,0,1,0.88,0.7576,0.29,0.0,125,183,308,0.6830601092896175
4960,4961,2011-07-30,fall,2011,7,14,0,6,0,1,0.9,0.7879,0.29,0.0,112,193,305,0.5803108808290155
4961,4962,2011-07-30,fall,2011,7,15,0,6,0,1,0.9,0.803,0.31,0.1343,113,189,302,0.5978835978835979
4962,4963,2011-07-30,fall,2011,7,16,0,6,0,1,0.9,0.7879,0.27,0.2239,126,176,302,0.7159090909090909
4963,4964,2011-07-30,fall,2011,7,17,0,6,0,1,0.9,0.7879,0.29,0.1045,93,209,302,0.4449760765550239
4964,4965,2011-07-30,fall,2011,7,18,0,6,0,1,0.88,0.7576,0.28,0.194,92,207,299,0.4444444444444444
4965,4966,2011-07-30,fall,2011,7,19,0,6,0,1,0.74,0.6515,0.33,0.2239,101,155,256,0.6516129032258065
4966,4967,2011-07-30,fall,2011,7,20,0,6,0,1,0.82,0.7424,0.43,0.1343,74,132,206,0.5606060606060606
4967,4968,2011-07-30,fall,2011,7,21,0,6,0,1,0.8,0.7424,0.49,0.1642,82,123,205,0.6666666666666666
4968,4969,2011-07-30,fall,2011,7,22,0,6,0,1,0.78,0.7121,0.52,0.1045,80,129,209,0.6201550387596899
4969,4970,2011-07-30,fall,2011,7,23,0,6,0,1,0.76,0.697,0.55,0.0896,63,114,177,0.5526315789473685
4970,4971,2011-07-31,fall,2011,7,0,0,0,0,1,0.76,0.697,0.55,0.0896,33,80,113,0.4125
4971,4972,2011-07-31,fall,2011,7,1,0,0,0,1,0.74,0.6818,0.62,0.0896,8,71,79,0.11267605633802817
4972,4973,2011-07-31,fall,2011,7,2,0,0,0,1,0.74,0.697,0.66,0.0896,19,48,67,0.3958333333333333
4973,4974,2011-07-31,fall,2011,7,3,0,0,0,1,0.74,0.697,0.66,0.0,24,26,50,0.9230769230769231
4974,4975,2011-07-31,fall,2011,7,4,0,0,0,1,0.72,0.6818,0.7,0.0,6,7,13,0.8571428571428571
4975,4976,2011-07-31,fall,2011,7,5,0,0,0,1,0.72,0.6818,0.69,0.0,4,4,8,1.0
4976,4977,2011-07-31,fall,2011,7,6,0,0,0,1,0.74,0.697,0.7,0.0,5,8,13,0.625
4977,4978,2011-07-31,fall,2011,7,7,0,0,0,1,0.74,0.6818,0.58,0.1343,19,26,45,0.7307692307692307
4978,4979,2011-07-31,fall,2011,7,8,0,0,0,1,0.76,0.697,0.55,0.2239,54,88,142,0.6136363636363636
4979,4980,2011-07-31,fall,2011,7,9,0,0,0,1,0.8,0.7424,0.49,0.0,55,128,183,0.4296875
4980,4981,2011-07-31,fall,2011,7,10,0,0,0,1,0.84,0.7424,0.36,0.1642,91,163,254,0.558282208588957
4981,4982,2011-07-31,fall,2011,7,11,0,0,0,1,0.86,0.7424,0.28,0.1642,112,163,275,0.6871165644171779
4982,4983,2011-07-31,fall,2011,7,12,0,0,0,1,0.9,0.7727,0.25,0.194,146,192,338,0.7604166666666666
4983,4984,2011-07-31,fall,2011,7,13,0,0,0,1,0.9,0.7727,0.24,0.1343,142,152,294,0.9342105263157895
4984,4985,2011-07-31,fall,2011,7,14,0,0,0,1,0.9,0.7727,0.24,0.1642,130,196,326,0.6632653061224489
4985,4986,2011-07-31,fall,2011,7,15,0,0,0,1,0.92,0.7727,0.18,0.2985,109,184,293,0.592391304347826
4986,4987,2011-07-31,fall,2011,7,16,0,0,0,1,0.92,0.7727,0.17,0.2836,98,208,306,0.47115384615384615
4987,4988,2011-07-31,fall,2011,7,17,0,0,0,1,0.92,0.7727,0.16,0.1642,114,206,320,0.5533980582524272
4988,4989,2011-07-31,fall,2011,7,18,0,0,0,1,0.86,0.7879,0.41,0.2836,91,213,304,0.4272300469483568
4989,4990,2011-07-31,fall,2011,7,19,0,0,0,1,0.8,0.7576,0.55,0.3284,87,187,274,0.46524064171123
4990,4991,2011-07-31,fall,2011,7,20,0,0,0,1,0.8,0.7576,0.55,0.3284,70,205,275,0.34146341463414637
4991,4992,2011-07-31,fall,2011,7,21,0,0,0,1,0.78,0.7424,0.59,0.2985,68,96,164,0.7083333333333334
4992,4993,2011-07-31,fall,2011,7,22,0,0,0,1,0.74,0.697,0.7,0.2985,25,71,96,0.352112676056338
4993,4994,2011-07-31,fall,2011,7,23,0,0,0,1,0.74,0.697,0.66,0.2239,14,56,70,0.25
4994,4995,2011-08-01,fall,2011,8,0,0,1,1,1,0.72,0.6818,0.7,0.2239,7,22,29,0.3181818181818182
4995,4996,2011-08-01,fall,2011,8,1,0,1,1,1,0.72,0.697,0.74,0.194,5,12,17,0.4166666666666667
4996,4997,2011-08-01,fall,2011,8,2,0,1,1,1,0.7,0.6667,0.74,0.1045,4,7,11,0.5714285714285714
4997,4998,2011-08-01,fall,2011,8,3,0,1,1,1,0.7,0.6667,0.79,0.1642,0,4,4,0.0
4998,4999,2011-08-01,fall,2011,8,4,0,1,1,1,0.66,0.6061,0.83,0.1343,2,2,4,1.0
4999,5000,2011-08-01,fall,2011,8,5,0,1,1,1,0.66,0.6061,0.83,0.1045,2,24,26,0.08333333333333333
5000,5001,2011-08-01,fall,2011,8,6,0,1,1,1,0.66,0.6061,0.83,0.0896,3,97,100,0.030927835051546393
5001,5002,2011-08-01,fall,2011,8,7,0,1,1,1,0.74,0.6818,0.62,0.0,24,258,282,0.09302325581395349
5002,5003,2011-08-01,fall,2011,8,8,0,1,1,1,0.8,0.7273,0.43,0.194,35,347,382,0.10086455331412104
5003,5004,2011-08-01,fall,2011,8,9,0,1,1,1,0.82,0.7424,0.41,0.0,27,139,166,0.19424460431654678
5004,5005,2011-08-01,fall,2011,8,10,0,1,1,1,0.86,0.7576,0.36,0.1642,27,70,97,0.38571428571428573
5005,5006,2011-08-01,fall,2011,8,11,0,1,1,1,0.88,0.7727,0.32,0.1642,53,66,119,0.803030303030303
5006,5007,2011-08-01,fall,2011,8,12,0,1,1,1,0.9,0.803,0.33,0.2537,53,115,168,0.4608695652173913
5007,5008,2011-08-01,fall,2011,8,13,0,1,1,1,0.9,0.803,0.31,0.2985,38,112,150,0.3392857142857143
5008,5009,2011-08-01,fall,2011,8,14,0,1,1,1,0.92,0.8182,0.29,0.194,37,86,123,0.43023255813953487
5009,5010,2011-08-01,fall,2011,8,15,0,1,1,1,0.9,0.7879,0.27,0.0,52,77,129,0.6753246753246753
5010,5011,2011-08-01,fall,2011,8,16,0,1,1,1,0.9,0.7879,0.27,0.0,34,197,231,0.17258883248730963
5011,5012,2011-08-01,fall,2011,8,17,0,1,1,1,0.76,0.6818,0.45,0.2985,69,445,514,0.1550561797752809
5012,5013,2011-08-01,fall,2011,8,18,0,1,1,1,0.78,0.697,0.43,0.194,68,475,543,0.1431578947368421
5013,5014,2011-08-01,fall,2011,8,19,0,1,1,1,0.74,0.6667,0.51,0.2239,63,350,413,0.18
5014,5015,2011-08-01,fall,2011,8,20,0,1,1,1,0.72,0.6818,0.62,0.2239,49,256,305,0.19140625
5015,5016,2011-08-01,fall,2011,8,21,0,1,1,1,0.7,0.6515,0.7,0.2537,42,178,220,0.23595505617977527
5016,5017,2011-08-01,fall,2011,8,22,0,1,1,1,0.7,0.6515,0.7,0.0896,21,116,137,0.1810344827586207
5017,5018,2011-08-01,fall,2011,8,23,0,1,1,1,0.68,0.6364,0.74,0.194,14,82,96,0.17073170731707318
5018,5019,2011-08-02,fall,2011,8,0,0,2,1,1,0.66,0.6212,0.74,0.0,11,18,29,0.6111111111111112
5019,5020,2011-08-02,fall,2011,8,1,0,2,1,1,0.66,0.6212,0.74,0.1045,4,8,12,0.5
5020,5021,2011-08-02,fall,2011,8,2,0,2,1,1,0.68,0.6364,0.69,0.0,2,6,8,0.3333333333333333
5021,5022,2011-08-02,fall,2011,8,3,0,2,1,1,0.66,0.6212,0.74,0.194,0,5,5,0.0
5022,5023,2011-08-02,fall,2011,8,4,0,2,1,1,0.66,0.6212,0.74,0.1045,0,10,10,0.0
5023,5024,2011-08-02,fall,2011,8,5,0,2,1,1,0.66,0.6212,0.74,0.1343,4,17,21,0.23529411764705882
5024,5025,2011-08-02,fall,2011,8,6,0,2,1,1,0.68,0.6364,0.69,0.1045,12,105,117,0.11428571428571428
5025,5026,2011-08-02,fall,2011,8,7,0,2,1,1,0.72,0.6667,0.61,0.2836,15,320,335,0.046875
5026,5027,2011-08-02,fall,2011,8,8,0,2,1,1,0.74,0.6818,0.58,0.2836,37,398,435,0.09296482412060302
5027,5028,2011-08-02,fall,2011,8,9,0,2,1,1,0.78,0.697,0.46,0.2985,31,182,213,0.17032967032967034
5028,5029,2011-08-02,fall,2011,8,10,0,2,1,1,0.82,0.7273,0.36,0.2985,50,90,140,0.5555555555555556
5029,5030,2011-08-02,fall,2011,8,11,0,2,1,1,0.84,0.7273,0.32,0.4179,32,96,128,0.3333333333333333
5030,5031,2011-08-02,fall,2011,8,12,0,2,1,1,0.86,0.7424,0.3,0.2836,45,112,157,0.4017857142857143
5031,5032,2011-08-02,fall,2011,8,13,0,2,1,1,0.86,0.7424,0.3,0.2239,50,153,203,0.32679738562091504
5032,5033,2011-08-02,fall,2011,8,14,0,2,1,1,0.9,0.7727,0.25,0.2836,45,114,159,0.39473684210526316
5033,5034,2011-08-02,fall,2011,8,15,0,2,1,1,0.9,0.7727,0.25,0.2836,48,120,168,0.4
5034,5035,2011-08-02,fall,2011,8,16,0,2,1,1,0.9,0.7727,0.25,0.2836,58,216,274,0.26851851851851855
5035,5036,2011-08-02,fall,2011,8,17,0,2,1,2,0.9,0.7879,0.27,0.1343,63,493,556,0.12778904665314403
5036,5037,2011-08-02,fall,2011,8,18,0,2,1,2,0.86,0.7576,0.34,0.194,65,491,556,0.13238289205702647
5037,5038,2011-08-02,fall,2011,8,19,0,2,1,2,0.86,0.7576,0.36,0.2239,85,369,454,0.23035230352303523
5038,5039,2011-08-02,fall,2011,8,20,0,2,1,2,0.82,0.7576,0.46,0.2537,40,248,288,0.16129032258064516
5039,5040,2011-08-02,fall,2011,8,21,0,2,1,1,0.8,0.7424,0.52,0.2239,53,201,254,0.263681592039801
5040,5041,2011-08-02,fall,2011,8,22,0,2,1,2,0.78,0.7424,0.59,0.1642,22,169,191,0.1301775147928994
5041,5042,2011-08-02,fall,2011,8,23,0,2,1,2,0.8,0.7424,0.49,0.1642,29,103,132,0.2815533980582524
5042,5043,2011-08-03,fall,2011,8,0,0,3,1,2,0.8,0.7424,0.49,0.1642,11,32,43,0.34375
5043,5044,2011-08-03,fall,2011,8,1,0,3,1,2,0.78,0.7121,0.52,0.1642,7,9,16,0.7777777777777778
5044,5045,2011-08-03,fall,2011,8,2,0,3,1,2,0.78,0.7121,0.49,0.1642,2,9,11,0.2222222222222222
5045,5046,2011-08-03,fall,2011,8,3,0,3,1,2,0.76,0.697,0.55,0.0896,0,4,4,0.0
5046,5047,2011-08-03,fall,2011,8,4,0,3,1,2,0.76,0.697,0.52,0.1642,0,7,7,0.0
5047,5048,2011-08-03,fall,2011,8,5,0,3,1,2,0.76,0.697,0.55,0.0896,2,22,24,0.09090909090909091
5048,5049,2011-08-03,fall,2011,8,6,0,3,1,3,0.72,0.6818,0.66,0.4925,9,101,110,0.0891089108910891
5049,5050,2011-08-03,fall,2011,8,7,0,3,1,2,0.74,0.6667,0.51,0.2239,19,252,271,0.07539682539682539
5050,5051,2011-08-03,fall,2011,8,8,0,3,1,2,0.74,0.6667,0.51,0.1642,29,408,437,0.07107843137254902
5051,5052,2011-08-03,fall,2011,8,9,0,3,1,2,0.74,0.6818,0.55,0.194,23,172,195,0.13372093023255813
5052,5053,2011-08-03,fall,2011,8,10,0,3,1,3,0.74,0.6818,0.58,0.0896,9,59,68,0.15254237288135594
5053,5054,2011-08-03,fall,2011,8,11,0,3,1,2,0.74,0.6818,0.58,0.1045,29,93,122,0.3118279569892473
5054,5055,2011-08-03,fall,2011,8,12,0,3,1,3,0.76,0.697,0.55,0.1343,19,142,161,0.13380281690140844
5055,5056,2011-08-03,fall,2011,8,13,0,3,1,2,0.76,0.7121,0.58,0.2239,37,107,144,0.34579439252336447
5056,5057,2011-08-03,fall,2011,8,14,0,3,1,2,0.76,0.7121,0.58,0.2239,43,104,147,0.41346153846153844
5057,5058,2011-08-03,fall,2011,8,15,0,3,1,2,0.7,0.6667,0.79,0.1343,31,87,118,0.3563218390804598
5058,5059,2011-08-03,fall,2011,8,16,0,3,1,3,0.68,0.6364,0.79,0.0,21,129,150,0.16279069767441862
5059,5060,2011-08-03,fall,2011,8,17,0,3,1,2,0.7,0.6667,0.79,0.0,47,378,425,0.12433862433862433
5060,5061,2011-08-03,fall,2011,8,18,0,3,1,3,0.7,0.6667,0.84,0.0,49,443,492,0.11060948081264109
5061,5062,2011-08-03,fall,2011,8,19,0,3,1,3,0.7,0.6667,0.84,0.0,51,270,321,0.18888888888888888
5062,5063,2011-08-03,fall,2011,8,20,0,3,1,3,0.7,0.6667,0.84,0.1045,7,80,87,0.0875
5063,5064,2011-08-03,fall,2011,8,21,0,3,1,2,0.68,0.6364,0.89,0.1343,7,81,88,0.08641975308641975
5064,5065,2011-08-03,fall,2011,8,22,0,3,1,3,0.68,0.6364,0.89,0.1045,11,66,77,0.16666666666666666
5065,5066,2011-08-03,fall,2011,8,23,0,3,1,2,0.68,0.6364,0.89,0.0896,4,52,56,0.07692307692307693
5066,5067,2011-08-04,fall,2011,8,0,0,4,1,2,0.68,0.6364,0.89,0.0896,2,15,17,0.13333333333333333
5067,5068,2011-08-04,fall,2011,8,1,0,4,1,2,0.66,0.5909,0.94,0.0896,3,14,17,0.21428571428571427
5068,5069,2011-08-04,fall,2011,8,2,0,4,1,2,0.66,0.5909,0.94,0.0896,2,5,7,0.4
5069,5070,2011-08-04,fall,2011,8,3,0,4,1,3,0.66,0.5909,0.94,0.0896,0,3,3,0.0
5070,5071,2011-08-04,fall,2011,8,4,0,4,1,2,0.68,0.6364,0.89,0.0,0,7,7,0.0
5071,5072,2011-08-04,fall,2011,8,5,0,4,1,2,0.68,0.6364,0.89,0.0,3,17,20,0.17647058823529413
5072,5073,2011-08-04,fall,2011,8,6,0,4,1,2,0.68,0.6364,0.89,0.2985,7,90,97,0.07777777777777778
5073,5074,2011-08-04,fall,2011,8,7,0,4,1,2,0.68,0.6364,0.89,0.2985,11,271,282,0.04059040590405904
5074,5075,2011-08-04,fall,2011,8,8,0,4,1,2,0.7,0.6515,0.82,0.3582,29,369,398,0.07859078590785908
5075,5076,2011-08-04,fall,2011,8,9,0,4,1,1,0.72,0.697,0.74,0.3284,25,162,187,0.15432098765432098
5076,5077,2011-08-04,fall,2011,8,10,0,4,1,1,0.72,0.6667,0.71,0.2985,24,89,113,0.2696629213483146
5077,5078,2011-08-04,fall,2011,8,11,0,4,1,2,0.74,0.697,0.66,0.2239,37,112,149,0.33035714285714285
5078,5079,2011-08-04,fall,2011,8,12,0,4,1,2,0.76,0.7121,0.62,0.2239,53,152,205,0.34868421052631576
5079,5080,2011-08-04,fall,2011,8,13,0,4,1,1,0.76,0.7121,0.58,0.0,63,142,205,0.44366197183098594
